CONVERSATION_ID,num_turns,num_user_turns,num_bot_turns,transfer_to_agent,ask_zip,ask_dob,verify_details,didnt_catch,say_it_again,please_hold,menu_options,bot_repeat_count,bot_repeated_exact,verify_then_transfer,bot_repetition_detected,bot_repetition_pairs
01a61cbf-6050-4873-aecd-c42fafab5686,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
06419bd5-a437-4356-8afd-314fee29608b,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
086b53be-f7c4-41ab-8925-7d99d2916e85,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
0af77745-ccb6-483e-b395-168ecf1c56a2,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
0b0da178-ac0a-4b98-bfba-deee80ff1067,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
0be60474-72d9-40e2-9165-2b0d6b57135b,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
10eef01d-bdc1-47cd-b2ec-89fc5221f6d8,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
1159d4fa-1481-41a9-aa07-d0ae0c16b1df,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
15efa40c-5d9d-46b2-905c-e1c2550adc61,1,1,0,True,True,True,True,False,False,True,True,0,False,False,False,0
16d62ebd-f64e-4a75-9756-0635131c911e,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
171f24c8-16bc-49b8-9e3f-b7b2553cdfe8,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
193abfbf-b757-40a1-bbf6-7121b16c07f6,1,0,1,False,True,True,True,False,False,True,True,0,False,False,False,0
1977a2b9-c819-4089-b550-45de4fbce21b,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
19bdba21-3ce8-42b3-90ae-3aa802468db1,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
1ad2c2e1-051f-40ad-b459-9f2881d2ef93,1,1,0,True,True,True,True,False,False,True,True,0,False,False,False,0
1e5b1958-42e3-4368-94bf-68c0884e3377,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
222ae211-7e5a-4700-bf83-f0cc59419633,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
24d91a9c-8bd6-4083-a268-8dba6c0b328a,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
26ada50e-c825-401c-a524-cc7050b49405,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
27e2237a-3bbe-4d38-a577-6fe080e1dda4,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
2acfd4be-c39e-4683-b324-d3e148245b0d,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
305081cb-57cf-46ed-be08-63eea79046bb,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
30556b0d-fd5c-4562-8a38-38cc8065e838,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
3625803a-a90a-4051-b63c-a454dccc92e1,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
3e3a2a4a-a4b5-4336-9224-c746bbbb027b,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
46f4cb76-430a-42cd-8428-dfed9a11effd,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
475937e4-7d24-439c-9fda-6c39239b514f,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
4935f329-872f-4528-987e-096eaba84bf6,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
499b61e5-3b79-49a9-a232-eaeb55123559,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
4d6d6877-dbd8-42bc-9d99-cae102ae2cd5,1,0,1,False,True,True,True,True,False,True,True,0,False,False,False,0
54611adf-f78a-4466-b339-6aade71edaee,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
56887549-0218-4703-80ca-fbe02e239f5d,1,0,1,False,True,True,True,True,True,True,True,0,False,False,False,0
614f4b76-1b06-43c1-a3dc-58beef02c752,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
645ae7c1-5641-4d7d-bc2f-8b79fd94cab0,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
652518dd-d06a-4d58-9571-e2754e5bbaf3,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
66893e9e-b7cf-45c6-a0f2-ba6cb0e14941,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
66dde471-6d36-4b80-9d5e-ba7c7b371085,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
6bdb9ad9-aca7-441a-b0e9-b617f9b595c5,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
6d43eda9-510a-4840-9340-aff4d3823eab,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
6d8ccd33-02c4-48d8-ac38-f6ead57d3c2b,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
6dcc2649-ffb9-45a6-8dd1-cb327a5e1533,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
711eac4a-43cf-4646-b3e8-4ad17c89847f,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
725a28f6-28d5-4f9e-b95b-1756e66b489f,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
734e734f-1c36-4410-a963-1bfea8eb15a2,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
7412f370-27d1-4007-b04d-1e128009c038,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
75d6293c-cdf3-4045-a4ad-cd9b4fc47924,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
7a00113e-9d4c-4ae5-8e23-56c2dfc0763d,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
7a069e20-cce4-4287-9ee8-2f26d1343b61,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
7ca8ea15-5798-4a03-a844-eb25f7353050,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
7e239203-8bb6-4c7e-a82a-8df5e426b569,1,0,1,False,True,True,True,True,False,True,True,0,False,False,False,0
851b56f4-1011-4be1-965d-5ddf2107d724,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
8ddad66a-bbcf-4bf7-8bde-2fa0d64da720,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
8f4d3323-04e9-4f75-8c7c-d5651b348fd0,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
90403741-2057-47ca-9f62-137f77b9a961,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
9049ebc2-69f2-4dcb-8e06-8b19a3095ab0,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
9735c640-b4d3-4d22-a1fb-8b9732d1f543,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
990de1c7-054e-4dd5-b62c-3baf2a42f122,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
a22e912e-66c3-4c92-8a0c-d0950cad15cd,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
a9db08a6-8034-4cd1-8dac-ac65513a809f,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
ab97c800-6932-4709-adec-c89dd022b148,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
aef6ccd6-1da6-4c93-b286-4b6042e39d6d,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
b2d9b2cc-3470-4594-a765-3590070ce7f3,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
b4b24b94-86a8-452e-af6a-66e117df4bd3,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
b55b4141-042f-4640-a5cf-e9b976f5acbb,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
b6c41f67-d018-4067-81c3-1c9735774b82,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
b85f194e-d1ae-4c9a-8739-ccd40097b5c1,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
b9a54d62-3124-4bf2-a1f0-fef03a77d7e3,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
bbab2d61-4b37-44ee-8b13-97ae2eaccaab,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
c234c76e-810f-4023-b896-2a77c35abc51,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
c312d46c-bcd9-4158-afee-69be6c20af69,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
c55f57d1-3629-4b35-993e-b075dbeb5af0,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
c6013a52-f625-4558-a587-56ec660dd3fc,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
c97c1128-800a-4956-b59c-dada3297b4c6,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
c9a2ddc6-d015-4dda-8a8f-e4971f66f6fd,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
c9a9bff7-ea78-4c59-beaf-9ca1b29b43fe,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
cc89ccfc-7bef-428c-8256-dcca4fddfa59,1,0,1,False,True,True,True,True,True,True,True,0,False,False,False,0
cce8224e-fc38-40fb-84d1-a62dae05adbe,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
cfabebed-da05-45c9-949c-f317c950b398,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
cfc638cf-3dea-4cda-ac56-3395560290b4,1,0,1,False,True,True,True,False,False,True,True,0,False,False,False,0
d2af1292-b867-41fa-8160-04aa9665ac91,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
d5369709-6b50-4326-bb28-ccf195a5a50b,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
d5a1608e-6edb-4e14-bad9-a783fc25a697,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
d961406d-dc6c-4825-8f6d-f92a41c9c983,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
d9dc45f2-ecdc-4013-b963-b2138b710397,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
dc4c5809-eb71-45d9-ac1f-8ea80fddcee2,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
e4a5a405-3132-4087-afca-078d01b8fc63,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
e5a53d3c-871e-4afc-9604-4cad0ce3cc3c,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
e8dae519-3247-4028-b8d6-f472a40c9683,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
e9884ce1-807a-496f-ad78-7d9a78d787fb,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
ed06c0ba-8f54-44b0-80a9-e8c9661381a0,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
edc2a898-8611-4e2f-aeab-502cbc75402e,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
ee2a6b87-d5d8-4fc0-9755-62a464b82eba,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
f02395e7-03a8-40de-8555-e8ca8d9061f0,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
f50efaec-2a71-4856-955d-0b7e569765f6,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
f7787250-f202-43cd-80fd-c2412cdd8a08,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
f88e73e0-0310-4ef1-be33-c8144f643584,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
fb60cfa8-2b99-4b14-95be-9e8fe7b600a4,1,0,1,True,True,True,True,False,False,True,True,0,False,False,False,0
fc9ff79e-a2a4-46c6-ae72-0835ddf89294,1,0,1,False,True,True,True,True,False,True,True,0,False,False,False,0
fd5e6251-ace0-42cc-ad87-fb5de121cd09,1,0,1,True,True,True,True,True,False,True,True,0,False,False,False,0
ff0e9329-8687-4465-8cba-e0b409c67ed2,1,0,1,True,True,True,True,True,True,True,True,0,False,False,False,0
