dispute_id,dispute_created_at,disputed_usd_amount,dispute_status,dispute_reason,transaction_created_at,card_country,merchant_name,merchant_category
7ad529a1-5240-465a-8c26-c645a181af7b,2020-01-01 2:24:52,3.16,won,damaged_product,2019-12-27 15:45:15,Israel,candyland,foodstuffs
948d6ca7-0743-467c-a42e-17599f136d03,2020-01-01 5:21:00,6.18,lost,damaged_product,2019-12-27 19:22:25,Israel,candyland,foodstuffs
92465c58-da9c-48e2-8a7b-8eb30e3789a4,2020-01-01 6:55:51,2.69,won,product_not_received,2019-12-28 1:06:54,Israel,candyland,foodstuffs
adc29016-f634-4e26-aaa8-ed17d90d3d85,2020-01-01 15:38:58,16.77,lost,fraud,2019-12-28 13:03:41,Israel,candyland,foodstuffs
29685b97-8687-487e-a9b4-de18c174e5a6,2020-01-02 5:40:54,18.64,lost,damaged_product,2019-12-29 12:30:25,Israel,candyland,foodstuffs
ff6450b5-7549-430b-9ed1-d553530b01b3,2020-01-02 8:19:38,7.5,lost,fraud,2019-12-29 10:16:29,Israel,candyland,foodstuffs
7c416c38-4071-4459-a34c-4f2cd5f64712,2020-01-02 16:18:12,17.92,won,credit_not_processed,2019-12-29 8:56:15,Israel,candyland,foodstuffs
42f750f5-77ab-4ea2-bfde-91e69ea218fa,2020-01-02 18:19:06,22.03,lost,product_not_received,2019-12-29 17:56:33,Israel,candyland,foodstuffs
bdf505fc-6ab0-4ef4-9d2f-333f8667de64,2020-01-02 21:05:45,21.01,lost,fraud,2019-12-29 10:08:30,Israel,candyland,foodstuffs
c7bb0e08-5ccb-4578-99af-78565f276c06,2020-01-02 21:21:09,6,lost,fraud,2019-12-30 6:17:58,Israel,candyland,foodstuffs
c7bb0e08-5ccb-4578-99af-78565f276c06,2020-01-02 21:21:09,6,lost,fraud,2019-12-30 6:17:58,Israel,candyland,foodstuffs
95ea5a9c-12ce-4e03-9c66-dc697b636f6e,2020-01-03 1:14:39,16.34,won,product_not_received,2019-12-29 5:24:50,Israel,candyland,foodstuffs
bfce3f02-c876-4c5d-ae71-c088c3ba2597,2020-01-03 2:08:45,11.61,won,fraud,2019-12-31 0:38:17,Israel,candyland,foodstuffs
3ed528b1-2f35-423d-b487-252f0a95b536,2020-01-03 2:58:47,47.24,lost,fraud,2019-12-30 23:43:04,Israel,candyland,foodstuffs
c921d574-1962-4dd2-95e6-be634f6fd662,2020-01-03 5:07:24,15.68,won,fraud,2019-12-29 22:38:40,Israel,candyland,foodstuffs
c22488d2-0721-4b6e-82a5-56cea1b80dc1,2020-01-03 21:42:33,17.04,lost,credit_not_processed,2019-12-31 10:32:29,Israel,candyland,foodstuffs
9bc92f12-e71d-4d28-a404-34562cbdaf76,2020-01-04 2:23:10,15.12,won,fraud,2019-12-31 0:34:46,Israel,candyland,foodstuffs
5160b2ce-16f5-4dbe-8dd6-37ce6279ffab,2020-01-04 7:10:11,21.83,lost,fraud,2019-12-31 1:09:19,Israel,candyland,foodstuffs
ed8712bf-73bd-4122-b663-33485eba1c9d,2020-01-04 9:17:46,15.73,won,product_not_received,2020-01-01 0:05:59,Israel,candyland,foodstuffs
39dc1af7-ddd0-46d5-8dfd-053cfca7c8ec,2020-01-04 10:49:49,9.9,won,unrecognized,2019-12-30 23:14:09,Israel,candyland,foodstuffs
